fila,subfila,columna,subcolumna,valor
22 PETROLEO Y DERIVADOS,,Castilla y León,,"6,22"
23 GAS,,Castilla y León,,"0,52"
24 CORRIENTE ELECTRICA,,Castilla y León,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Castilla y León,,"121,71"
32 MENAS Y MINERALES,,Castilla y León,,"30,98"
41 METALES NO FERROSOS,,Castilla y León,,"135,47"
42 HIERRO Y ACERO,,Castilla y León,,"354,70"
43 PRODUCTOS QUIMICOS,,Castilla y León,,"1443,35"
44 OTRAS SEMIMANUFACTURAS,,Castilla y León,,"1191,06"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Castilla y León,,"393,63"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Castilla y León,,"28,55"
53 MATERIAL TRANSPORTE,,Castilla y León,,"391,60"
54 OTROS BIENES DE EQUIPO,,Castilla y León,,"907,24"
61 AUTOMOVILES Y MOTOS,,Castilla y León,,"4764,42"
62 COMPONENTES DEL AUTOMOVIL,,Castilla y León,,"1878,35"
71 ELECTRODOMESTICOS,,Castilla y León,,"24,38"
72 ELECTRONICA DE CONSUMO,,Castilla y León,,"2,66"
73 MUEBLES,,Castilla y León,,"34,88"
74 OTROS BIENES CONSUMO DURADERO,,Castilla y León,,"9,34"
81 TEXTILES Y CONFECCION,,Castilla y León,,"198,14"
82 CALZADO,,Castilla y León,,"4,12"
83 JUGUETES,,Castilla y León,,"1,27"
84 ALFARERIA,,Castilla y León,,"0,22"
85 JOYERIA Y RELOJES,,Castilla y León,,"5,06"
86 CUERO Y MANUFACTURAS DEL CUERO,,Castilla y León,,"6,42"
87 OTRAS MANUFACTURAS DE CONSUMO,,Castilla y León,,"287,71"
9 OTRAS MERCANCIAS,,Castilla y León,,"201,20"
11 PRODUCTOS CÁRNICOS,,Castilla-La Mancha,,"456,09"
12 LACTEOS Y HUEVOS,,Castilla-La Mancha,,"263,39"
13 PRODUCTOS PESQUEROS,,Castilla-La Mancha,,"46,15"
14 CEREALES,,Castilla-La Mancha,,"3,62"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Castilla-La Mancha,,"416,12"
"16 AZUCAR, CAFE Y CACAO",,Castilla-La Mancha,,"42,29"
17 PREPARADOS ALIMENTICIOS,,Castilla-La Mancha,,"162,51"
18 BEBIDAS,,Castilla-La Mancha,,"923,80"
19 TABACOS,,Castilla-La Mancha,,"0,07"
1A GRASAS Y ACEITES,,Castilla-La Mancha,,"211,69"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Castilla-La Mancha,,"2,33"
1C PIENSOS ANIMALES,,Castilla-La Mancha,,"25,44"
21 CARBON,,Castilla-La Mancha,,
22 PETROLEO Y DERIVADOS,,Castilla-La Mancha,,"68,65"
23 GAS,,Castilla-La Mancha,,"0,01"
24 CORRIENTE ELECTRICA,,Castilla-La Mancha,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Castilla-La Mancha,,"45,05"
32 MENAS Y MINERALES,,Castilla-La Mancha,,"34,12"
41 METALES NO FERROSOS,,Castilla-La Mancha,,"247,03"
42 HIERRO Y ACERO,,Castilla-La Mancha,,"52,98"
43 PRODUCTOS QUIMICOS,,Castilla-La Mancha,,"946,14"
44 OTRAS SEMIMANUFACTURAS,,Castilla-La Mancha,,"421,43"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Castilla-La Mancha,,"277,46"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Castilla-La Mancha,,"342,82"
53 MATERIAL TRANSPORTE,,Castilla-La Mancha,,"151,31"
54 OTROS BIENES DE EQUIPO,,Castilla-La Mancha,,"925,44"
61 AUTOMOVILES Y MOTOS,,Castilla-La Mancha,,"38,53"
62 COMPONENTES DEL AUTOMOVIL,,Castilla-La Mancha,,"166,84"
71 ELECTRODOMESTICOS,,Castilla-La Mancha,,"9,70"
72 ELECTRONICA DE CONSUMO,,Castilla-La Mancha,,"17,73"
73 MUEBLES,,Castilla-La Mancha,,"50,47"
74 OTROS BIENES CONSUMO DURADERO,,Castilla-La Mancha,,"33,07"
81 TEXTILES Y CONFECCION,,Castilla-La Mancha,,"647,76"
82 CALZADO,,Castilla-La Mancha,,"170,03"
83 JUGUETES,,Castilla-La Mancha,,"17,24"
84 ALFARERIA,,Castilla-La Mancha,,"4,49"
85 JOYERIA Y RELOJES,,Castilla-La Mancha,,"3,98"
86 CUERO Y MANUFACTURAS DEL CUERO,,Castilla-La Mancha,,"23,04"
87 OTRAS MANUFACTURAS DE CONSUMO,,Castilla-La Mancha,,"241,77"
9 OTRAS MERCANCIAS,,Castilla-La Mancha,,"36,73"
11 PRODUCTOS CÁRNICOS,,Cataluña,,"3897,72"
12 LACTEOS Y HUEVOS,,Cataluña,,"216,01"
13 PRODUCTOS PESQUEROS,,Cataluña,,"311,73"
14 CEREALES,,Cataluña,,"54,34"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Cataluña,,"1396,91"
"16 AZUCAR, CAFE Y CACAO",,Cataluña,,"763,42"
17 PREPARADOS ALIMENTICIOS,,Cataluña,,"1280,51"
18 BEBIDAS,,Cataluña,,"921,42"
19 TABACOS,,Cataluña,,"12,03"
1A GRASAS Y ACEITES,,Cataluña,,"793,05"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Cataluña,,"25,37"
1C PIENSOS ANIMALES,,Cataluña,,"595,21"
21 CARBON,,Cataluña,,"31,54"
22 PETROLEO Y DERIVADOS,,Cataluña,,"3636,31"
23 GAS,,Cataluña,,"124,27"
24 CORRIENTE ELECTRICA,,Cataluña,,"12,18"
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Cataluña,,"637,25"
32 MENAS Y MINERALES,,Cataluña,,"608,17"
41 METALES NO FERROSOS,,Cataluña,,"843,38"
42 HIERRO Y ACERO,,Cataluña,,"1265,91"
43 PRODUCTOS QUIMICOS,,Cataluña,,"19943,26"
44 OTRAS SEMIMANUFACTURAS,,Cataluña,,"2636,02"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Cataluña,,"4496,33"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Cataluña,,"675,90"
53 MATERIAL TRANSPORTE,,Cataluña,,"1556,53"
54 OTROS BIENES DE EQUIPO,,Cataluña,,"6016,58"
61 AUTOMOVILES Y MOTOS,,Cataluña,,"7226,15"
62 COMPONENTES DEL AUTOMOVIL,,Cataluña,,"2501,91"
71 ELECTRODOMESTICOS,,Cataluña,,"303,41"
72 ELECTRONICA DE CONSUMO,,Cataluña,,"33,72"
73 MUEBLES,,Cataluña,,"634,22"
74 OTROS BIENES CONSUMO DURADERO,,Cataluña,,"162,64"
81 TEXTILES Y CONFECCION,,Cataluña,,"5565,75"
82 CALZADO,,Cataluña,,"323,58"
83 JUGUETES,,Cataluña,,"1177,79"
84 ALFARERIA,,Cataluña,,"21,41"
85 JOYERIA Y RELOJES,,Cataluña,,"342,55"
86 CUERO Y MANUFACTURAS DEL CUERO,,Cataluña,,"245,12"
87 OTRAS MANUFACTURAS DE CONSUMO,,Cataluña,,"1869,61"
9 OTRAS MERCANCIAS,,Cataluña,,"694,29"
11 PRODUCTOS CÁRNICOS,,Comunitat Valenciana,,"160,64"
12 LACTEOS Y HUEVOS,,Comunitat Valenciana,,"107,37"
13 PRODUCTOS PESQUEROS,,Comunitat Valenciana,,"268,34"
14 CEREALES,,Comunitat Valenciana,,"89,88"
"15 FRUTAS, HORTALIZAS Y LEGUMBRES",,Comunitat Valenciana,,"4449,08"
"16 AZUCAR, CAFE Y CACAO",,Comunitat Valenciana,,"210,58"
17 PREPARADOS ALIMENTICIOS,,Comunitat Valenciana,,"233,28"
18 BEBIDAS,,Comunitat Valenciana,,"352,50"
19 TABACOS,,Comunitat Valenciana,,"4,42"
1A GRASAS Y ACEITES,,Comunitat Valenciana,,"60,34"
1B SEMILLAS Y FRUTOS OLEAGINOSOS,,Comunitat Valenciana,,"4,40"
1C PIENSOS ANIMALES,,Comunitat Valenciana,,"43,00"
21 CARBON,,Comunitat Valenciana,,"3,12"
22 PETROLEO Y DERIVADOS,,Comunitat Valenciana,,"1314,86"
23 GAS,,Comunitat Valenciana,,"0,01"
24 CORRIENTE ELECTRICA,,Comunitat Valenciana,,
31 MAT. PRIMAS ANIMALES Y VEGETAL,,Comunitat Valenciana,,"351,03"
32 MENAS Y MINERALES,,Comunitat Valenciana,,"272,30"
41 METALES NO FERROSOS,,Comunitat Valenciana,,"350,61"
42 HIERRO Y ACERO,,Comunitat Valenciana,,"434,85"
43 PRODUCTOS QUIMICOS,,Comunitat Valenciana,,"4233,32"
44 OTRAS SEMIMANUFACTURAS,,Comunitat Valenciana,,"3627,50"
51 MAQ. ESPECIFICA CIERTAS INDUST,,Comunitat Valenciana,,"1067,52"
52 EQUIPO OFICINA Y TELECOMUNIC.,,Comunitat Valenciana,,"298,42"
53 MATERIAL TRANSPORTE,,Comunitat Valenciana,,"852,57"
