fila,subfila,columna,subcolumna,valor
Sevilla,1A GRASAS Y ACEITES,2019,EXPORT,"1198803336,30"
Sevilla,1B SEMILLAS Y FRUTOS OLEAGINOSOS,2019,EXPORT,"33742245,19"
Sevilla,1C PIENSOS ANIMALES,2019,EXPORT,"33598670,58"
Sevilla,21 CARBON,2019,EXPORT,"555,29"
Sevilla,22 PETROLEO Y DERIVADOS,2019,EXPORT,"51017659,27"
Sevilla,23 GAS,2019,EXPORT,"4058,45"
Sevilla,24 CORRIENTE ELECTRICA,2019,EXPORT,
Sevilla,31 MAT. PRIMAS ANIMALES Y VEGETAL,2019,EXPORT,"20490924,39"
Sevilla,32 MENAS Y MINERALES,2019,EXPORT,"26281714,36"
Sevilla,41 METALES NO FERROSOS,2019,EXPORT,"24814923,93"
Sevilla,42 HIERRO Y ACERO,2019,EXPORT,"157534094,90"
Sevilla,43 PRODUCTOS QUIMICOS,2019,EXPORT,"362508008,12"
Sevilla,44 OTRAS SEMIMANUFACTURAS,2019,EXPORT,"56020458,99"
Sevilla,51 MAQ. ESPECIFICA CIERTAS INDUST,2019,EXPORT,"183644590,39"
Sevilla,52 EQUIPO OFICINA Y TELECOMUNIC.,2019,EXPORT,"115405280,95"
Sevilla,53 MATERIAL TRANSPORTE,2019,EXPORT,"2471264689,18"
Sevilla,54 OTROS BIENES DE EQUIPO,2019,EXPORT,"413638928,34"
Sevilla,61 AUTOMOVILES Y MOTOS,2019,EXPORT,"2733749,15"
